ID,NAME,NAME_allportdata,ABBREV,COUNTRY_CODE,LATITUDE_DECIMAL,LONGITUDE_DECIMAL,LATDD,LONGDD,MIN_T,MAX_T,RANGE_T,YR_MEAN_T,Salinity,Temp_Src,Sal_Src,MEOW_region,MEOW_province,MEOW_realm,FEOW_region,MEOW_Neighbors,FEOW_Neighbors,,,,,,
4450,Coleraine,Coleraine,GBR,GBR,55.1333,-6.6667,55.13333,-6.66667,6.04,15.53,9.49,10.23,16.92,Air,Drake_Model,Celtic Seas,Northern European Seas,Temperate Northern Atlantic,Northern British Isles,Faroe Plateau|South European Atlantic Shelf|North Sea|NA|NA|NA|NA|NA|NA,Central & Western Europe|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
4451,Iloilo,Iloilo,PHL,PHL,10.7,122.5667,10.7,122.56667,27,29.03,2.03,27.97,33.95,Air,WOA,Eastern Philippines,Western Coral Triangle,Central Indo-Pacific,Northern Philippine Islands,Halmahera|Palawan/North Borneo|South China Sea Oceanic Islands|South Kuroshio|Sulawesi Sea/Makassar Strait|West Caroline Islands|NA|NA|NA,NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
4452,Sakaiminato,Sakaiminato,JPN,JPN,35.5333,133.25,35.53333,133.25,11.36,25.98,14.61,18.1,33.83,WOA,WOA,Sea of Japan/East Sea,Cold Temperate Northwest Pacific,Temperate Northern Pacific,Honshu - Shikoku - Kyushu,Central Kuroshio Current|East China Sea|Northeastern Honshu|Oyashio Current|Sea of Okhotsk|Yellow Sea|NA|NA|NA,Biwa Ko|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
4453,Itajai,Itajai,BRA,BRA,-26.8994,-48.6706,-26.89944,-48.67056,17.6,26.11,8.51,22.15,34.4,WOA,WOA,Southeastern Brazil,Warm Temperate Southwestern Atlantic,Temperate South America,Southeastern Mata Atlantica,Eastern Brazil|Rio Grande|NA|NA|NA|NA|NA|NA|NA,Iguassu|Ribeira de Iguape|Upper Uruguay|Tramandai - Mampituba|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
4454,Contrecoeur,Contrecoeur,CAN,CAN,45.8833,-73.2,45.88333,-73.2,0,22.15,22.15,7.61,0,Air,DistIn,Gulf of St. Lawrence - Eastern Scotian Shelf,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,St.Lawrence,Gulf of Maine/Bay of Fundy|Northern Grand Banks - Southern Labrador|Northern Labrador|Scotian Shelf|Southern Grand Banks - South Newfoundland|Virginian|NA|NA|NA,Northeast US & Southeast Canada Atlantic Drainages|Southern Hudson Bay|Laurentian Great Lakes|Gulf of St.Lawrence Coastal Drainages|Eastern Hudson Bay - Ungava|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
4455,Port Colborne,Port Colborne,CAN,CAN,42.8767,-79.2452,42.86667,-79.25,0.47,23.27,22.8,10.74,0,AVHRR,DistIn,NA,NA,NA,Laurentian Great Lakes,NA,Upper Mississippi|Teays - Old Ohio|Chesapeake Bay|Northeast US & Southeast Canada Atlantic Drainages|English - Winnipeg Lakes|Southern Hudson Bay|St.Lawrence|NA|NA|NA|NA|NA|NA|NA,,,,,,
4456,Tornio,Tornio,FIN,FIN,65.85,24.15,65.85,24.15,0,17.14,17.14,3.94,5,Air,WOA,Baltic Sea,Northern European Seas,Temperate Northern Atlantic,Northern Baltic Drainages,North Sea|Southern Norway|Northern Norway and Finnmark|NA|NA|NA|NA|NA|NA,Barents Sea Drainages|Lake Onega - Lake Ladoga|Norwegian Sea Drainages|Southern Baltic Lowlands|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
4457,Parigi,Parigi,IDN,IDN,-0.8333,120.2167,-0.83333,120.21667,26.92,27.59,0.67,27.18,33.23,Air,WOA,Northeast Sulawesi,Western Coral Triangle,Central Indo-Pacific,NA,Banda Sea|Sulawesi Sea/Makassar Strait|NA|NA|NA|NA|NA|NA|NA,NA,,,,,,
4458,Takamatsu,Takamatsu,JPN,JPN,34.35,134.05,34.35,134.05,9.43,26.26,16.84,17.8,32.14,WOA,WOA,Central Kuroshio Current,Warm Temperate Northwest Pacific,Temperate Northern Pacific,NA,East China Sea|Northeastern Honshu|Ogasawara Islands|Sea of Japan/East Sea|South Kuroshio|NA|NA|NA|NA,NA,,,,,,
4459,Caldera(CHL),Caldera(CHL),CHL,CHL,-27.0667,-70.8833,-27.06667,-70.88333,14.73,21.32,6.59,17.85,34.57,Air,WOA,Central Chile,Warm Temperate Southeastern Pacific,Temperate South America,NA,Araucanian|Humboldtian|NA|NA|NA|NA|NA|NA|NA,NA,,,,,,
4460,Ascension,Ascension,SHN,SHN,-7.9333,-14.4167,-7.93333,-14.41667,24.08,27.67,3.59,25.78,36.1,WOA,WOA,St. Helena and Ascension Islands,St. Helena and Ascension Islands,Tropical Atlantic,NA,NA|NA|NA|NA|NA|NA|NA|NA|NA,NA,,,,,,
4461,Ballina(IRL),Ballina(IRL),IRL,IRL,54.1167,-9.1667,54.11667,-9.16667,7.05,16.14,9.09,11.13,13.41,Air,Drake_Model,Celtic Seas,Northern European Seas,Temperate Northern Atlantic,Northern British Isles,Faroe Plateau|South European Atlantic Shelf|North Sea|NA|NA|NA|NA|NA|NA,Central & Western Europe|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
4462,Binatang,Binatang,MYS,MYS,2.1667,111.6333,2.16667,111.63333,26.62,27.66,1.04,27.2,0.01,Air,Drake_Model,Sunda Shelf/Java Sea,Sunda Shelf,Central Indo-Pacific,Northwestern Borneo,Gulf of Thailand|Lesser Sunda|Malacca Strait|Palawan/North Borneo|South China Sea Oceanic Islands|Southern Vietnam|Sulawesi Sea/Makassar Strait|Southern Java|Western Sumatra,Kapuas|Borneo Highlands|Northeastern Borneo|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
4463,Montevideo Roads,NA,NA,URY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,
4464,Rosneath,Rosneath,GBR,GBR,56.0167,-4.8,56.01667,-4.8,4.86,15.03,10.17,9.3,7.61,Air,Drake_Model,Celtic Seas,Northern European Seas,Temperate Northern Atlantic,NA,Faroe Plateau|South European Atlantic Shelf|North Sea|NA|NA|NA|NA|NA|NA,NA,,,,,,
4465,Scarborough(GBR),Scarborough(GBR),GBR,GBR,54.2855,-0.3905,54.28333,-0.38333,6.13,14.87,8.74,10.04,34.02,WOA,WOA,North Sea,Northern European Seas,Temperate Northern Atlantic,NA,Baltic Sea|Celtic Seas|Faroe Plateau|South European Atlantic Shelf|Southern Norway|NA|NA|NA|NA,NA,,,,,,
4466,Wakamatsu,Wakamatsu,JPN,JPN,33.9167,130.8167,33.91667,130.81667,13.73,27.34,13.61,20.33,20.37,WOA,Drake_Model,Sea of Japan/East Sea,Cold Temperate Northwest Pacific,Temperate Northern Pacific,NA,Central Kuroshio Current|East China Sea|Northeastern Honshu|Oyashio Current|Sea of Okhotsk|Yellow Sea|NA|NA|NA,NA,,,,,,
4467,Sinop,Sinop,TUR,TUR,42,35.15,42,35.15,6.93,23.49,16.56,15.09,18.26,WOA,WOA,Black Sea,Black Sea,Temperate Northern Atlantic,NA,Levantine Sea|Aegean Sea|NA|NA|NA|NA|NA|NA|NA,NA,,,,,,
4468,Abu Kir Bay,NA,NA,EGY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,
4469,Carabane,Carabane,SEN,SEN,12.55,-16.7,12.55,-16.7,21.28,28.45,7.16,25.13,35.1,WOA,WOA,Sahelian Upwelling,West African Transition,Tropical Atlantic,NA,Cape Verde|Gulf of Guinea West|Saharan Upwelling|NA|NA|NA|NA|NA|NA,NA,,,,,,
4470,Lillesand,Lillesand,NOR,NOR,58.25,8.3833,58.25,8.38333,2.42,17.54,15.12,8.82,31.18,Air,WOA,North Sea,Northern European Seas,Temperate Northern Atlantic,Norwegian Sea Drainages,Baltic Sea|Celtic Seas|Faroe Plateau|South European Atlantic Shelf|Southern Norway|NA|NA|NA|NA,Barents Sea Drainages|Northern Baltic Drainages|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
4471,Tenes,Tenes,DZA,DZA,36.5186,1.3198,36.51861,1.31972,14.4,24.94,10.54,18.79,36.91,WOA,WOA,Western Mediterranean,Mediterranean Sea,Temperate Northern Atlantic,Mediterranean Northwest Africa,Adriatic Sea|Tunisian Plateau/Gulf of Sidra|Ionian Sea|Alboran Sea|NA|NA|NA|NA|NA,Sahara|Atlantic Northwest Africa|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
4472,Tahara,Tahara,JPN,JPN,34.6667,137.3,34.66667,137.3,13.56,26.28,12.73,19.6,12.95,WOA,Drake_Model,Central Kuroshio Current,Warm Temperate Northwest Pacific,Temperate Northern Pacific,Honshu - Shikoku - Kyushu,East China Sea|Northeastern Honshu|Ogasawara Islands|Sea of Japan/East Sea|South Kuroshio|NA|NA|NA|NA,Biwa Ko|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
4473,Ludwigshafen am Rhein,Ludwigshafen am Rhein,DEU,DEU,49.4667,8.45,49.46667,8.45,4.06,21.23,17.17,12.23,0,Air,DistIn,North Sea,Northern European Seas,Temperate Northern Atlantic,Central & Western Europe,Baltic Sea|Celtic Seas|Faroe Plateau|South European Atlantic Shelf|Southern Norway|NA|NA|NA|NA,Northern British Isles|Cantabric Coast - Languedoc|Upper Danube|Dniester - Lower Danube|Gulf of Venice Drainages|Dnieper - South Bug|Southern Baltic Lowlands|NA|NA|NA|NA|NA|NA|NA,,,,,,
4474,Mundra,Mundra,IND,IND,22.8192,69.7039,22.9,69.7,22.24,29.78,7.55,26.2,36.13,WOA,WOA,Western India,West and South Indian Shelf,Western Indo-Pacific,Lower & Middle Indus,Eastern India|Gulf of Oman|Maldives|South India and Sri Lanka|NA|NA|NA|NA|NA,Baluchistan|Yaghistan|Indus Himalayan Foothills|Ganges Himalayan Foothills|Ganges Delta & Plain|Namuda - Tapi|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
4475,Guantanamo Bay,NA,NA,CUB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,
4476,Marysville,Marysville,USA,USA,42.9167,-82.4833,42.91667,-82.48333,0.2,21.65,21.45,9.82,0,AVHRR,DistIn,NA,NA,NA,Laurentian Great Lakes,NA,Upper Mississippi|Teays - Old Ohio|Chesapeake Bay|Northeast US & Southeast Canada Atlantic Drainages|English - Winnipeg Lakes|Southern Hudson Bay|St.Lawrence|NA|NA|NA|NA|NA|NA|NA,,,,,,
4477,Netley Lay Up Anch.,NA,NA,GBR,50.8833,-1.3833,NA,NA,NA,NA,NA,NA,NA,NA,NA,North Sea,Northern European Seas,Temperate Northern Atlantic,NA,Baltic Sea|Celtic Seas|Faroe Plateau|South European Atlantic Shelf|Southern Norway|NA|NA|NA|NA,NA,,,,,,
4478,Khanom,Khanom,THA,THA,9.2667,99.8833,9.26667,99.88333,27.6,30.42,2.81,28.58,31.72,WOA,WOA,Gulf of Thailand,Sunda Shelf,Central Indo-Pacific,NA,Andaman Sea Coral Coast|Gulf of Tonkin|Malacca Strait|Northern Bay of Bengal|Southern Vietnam|Sunda Shelf/Java Sea|NA|NA|NA,NA,,,,,,
4479,Fenit,Fenit,IRL,IRL,52.2667,-9.85,52.26667,-9.85,7.4,16.04,8.64,11.21,34.87,Air,WOA,Celtic Seas,Northern European Seas,Temperate Northern Atlantic,NA,Faroe Plateau|South European Atlantic Shelf|North Sea|NA|NA|NA|NA|NA|NA,NA,,,,,,
4480,Lumut(Malaysia),Lumut(Malaysia),MYS,MYS,4.2667,100.65,4.26667,100.65,26.77,27.73,0.96,27.17,25.66,Air,Drake_Model,Malacca Strait,Sunda Shelf,Central Indo-Pacific,Northern Central Sumatra - Western Malaysia,Andaman and Nicobar Islands|Andaman Sea Coral Coast|Gulf of Thailand|Western Sumatra|Sunda Shelf/Java Sea|NA|NA|NA|NA,Lower & Middle Salween|Malay Peninsula Eastern Slope|Aceh|Southern Central Sumatra|Indian Ocean Slope of Sumatra & Java|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
4481,Wales,NA,NA,GBR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,
4482,Girvan,Girvan,GBR,GBR,55.25,-4.8667,55.25,-4.86667,6.58,13.56,6.98,10.2,33.57,WOA,WOA,Celtic Seas,Northern European Seas,Temperate Northern Atlantic,NA,Faroe Plateau|South European Atlantic Shelf|North Sea|NA|NA|NA|NA|NA|NA,NA,,,,,,
4483,Elnesvagen,Elnesvagen,NOR,NOR,62.85,7.15,62.85,7.15,3.92,14.63,10.71,8.43,23.35,Air,Drake_Model,Southern Norway,Northern European Seas,Temperate Northern Atlantic,Norwegian Sea Drainages,Baltic Sea|North Sea|Northern Norway and Finnmark|NA|NA|NA|NA|NA|NA,Barents Sea Drainages|Northern Baltic Drainages|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
4484,Uppsala,Uppsala,SWE,SWE,59.8667,17.65,59.86667,17.65,0.99,18.14,17.15,7.63,0,Air,DistIn,Baltic Sea,Northern European Seas,Temperate Northern Atlantic,Northern Baltic Drainages,North Sea|Southern Norway|Northern Norway and Finnmark|NA|NA|NA|NA|NA|NA,Barents Sea Drainages|Lake Onega - Lake Ladoga|Norwegian Sea Drainages|Southern Baltic Lowlands|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
4485,Kolobrzeg,Kolobrzeg,POL,POL,54.1833,15.5667,54.18333,15.56667,1.7,20.85,19.15,10.94,7.81,Air,WOA,Baltic Sea,Northern European Seas,Temperate Northern Atlantic,Central & Western Europe,North Sea|Southern Norway|Northern Norway and Finnmark|NA|NA|NA|NA|NA|NA,Northern British Isles|Cantabric Coast - Languedoc|Upper Danube|Dniester - Lower Danube|Gulf of Venice Drainages|Dnieper - South Bug|Southern Baltic Lowlands|NA|NA|NA|NA|NA|NA|NA,,,,,,
4486,Kushiro,Kushiro,JPN,JPN,42.9833,144.3667,42.98333,144.36667,0.42,20.09,19.67,7.84,32.97,Air,WOA,Oyashio Current,Cold Temperate Northwest Pacific,Temperate Northern Pacific,"Sakhalin, Hokkaido, & Sikhote - Alin Coast",Kamchatka Shelf and Coast|Northeastern Honshu|Sea of Japan/East Sea|Sea of Okhotsk|NA|NA|NA|NA|NA,Lower Amur|Coastal Amur|Hamgyong - Sanmaek|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
4487,Atsumi,Atsumi,JPN,JPN,34.6667,137.0667,34.66667,137.06667,13.25,26.33,13.08,19.45,33.28,WOA,WOA,Central Kuroshio Current,Warm Temperate Northwest Pacific,Temperate Northern Pacific,NA,East China Sea|Northeastern Honshu|Ogasawara Islands|Sea of Japan/East Sea|South Kuroshio|NA|NA|NA|NA,NA,,,,,,
4488,Kodiak,Kodiak,USA,USA,57.7833,-152.4,57.78333,-152.4,2.82,11.2,8.38,6.33,32.43,WOA,WOA,Gulf of Alaska,Cold Temperate Northeast Pacific,Temperate Northern Pacific,NA,Aleutian Islands|Eastern Bering Sea|North American Pacific Fijordland|NA|NA|NA|NA|NA|NA,NA,,,,,,
4489,Seattle,Seattle,USA,USA,47.6333,-122.3333,47.63333,-122.33333,6.88,20.19,13.31,13.01,28.93,Air,WOA,Puget Trough/Georgia Basin,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Alaska & Canada Pacific Coastal,"North American Pacific Fijordland|Oregon, Washington, Vancouver Coast and Shelf|NA|NA|NA|NA|NA|NA|NA",Columbia Glaciated|Columbia Unglaciated|Alaskan Coastal|Lower Mackenzie|Upper Mackenzie|Upper Yukon|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
4490,Cekmece,Cekmece,TUR,TUR,40.9833,28.55,40.98333,28.55,7.22,24.44,17.22,15.94,27.8,Air,WOA,Aegean Sea,Mediterranean Sea,Temperate Northern Atlantic,NA,Black Sea|Adriatic Sea|Levantine Sea|Tunisian Plateau/Gulf of Sidra|Ionian Sea|NA|NA|NA|NA,NA,,,,,,
4491,Waverley Terminal,NA,NA,NZL,-39.85,174.5833,NA,NA,NA,NA,NA,NA,NA,NA,NA,Central New Zealand,Southern New Zealand,Temperate Australasia,NA,Northeastern New Zealand|South New Zealand|Three Kings-North Cape|NA|NA|NA|NA|NA|NA,NA,,,,,,
4492,London,London,GBR,GBR,51.5,-0.0667,51.5,-0.06667,6.62,19.22,12.6,12.22,2.15,Air,Drake_Model,North Sea,Northern European Seas,Temperate Northern Atlantic,Central & Western Europe,Baltic Sea|Celtic Seas|Faroe Plateau|South European Atlantic Shelf|Southern Norway|NA|NA|NA|NA,Northern British Isles|Cantabric Coast - Languedoc|Upper Danube|Dniester - Lower Danube|Gulf of Venice Drainages|Dnieper - South Bug|Southern Baltic Lowlands|NA|NA|NA|NA|NA|NA|NA,,,,,,
4493,Flixborough,Flixborough,GBR,GBR,53.6203,-0.6997,53.61667,-0.68333,5.96,17.94,11.98,11.33,2.44,Air,Drake_Model,North Sea,Northern European Seas,Temperate Northern Atlantic,Central & Western Europe,Baltic Sea|Celtic Seas|Faroe Plateau|South European Atlantic Shelf|Southern Norway|NA|NA|NA|NA,Northern British Isles|Cantabric Coast - Languedoc|Upper Danube|Dniester - Lower Danube|Gulf of Venice Drainages|Dnieper - South Bug|Southern Baltic Lowlands|NA|NA|NA|NA|NA|NA|NA,,,,,,
4494,Barrow-in-Furness,Barrow-in-Furness,GBR,GBR,54.1,-3.2167,54.1,-3.21667,5.56,15.94,10.38,9.97,32.62,Air,WOA,Celtic Seas,Northern European Seas,Temperate Northern Atlantic,Central & Western Europe,Faroe Plateau|South European Atlantic Shelf|North Sea|NA|NA|NA|NA|NA|NA,Northern British Isles|Cantabric Coast - Languedoc|Upper Danube|Dniester - Lower Danube|Gulf of Venice Drainages|Dnieper - South Bug|Southern Baltic Lowlands|NA|NA|NA|NA|NA|NA|NA,,,,,,
4495,Aaheim,Aaheim,NOR,NOR,62.0361,5.5311,62.05,5.51667,3.32,13.42,10.1,7.35,20.51,Air,Drake_Model,Southern Norway,Northern European Seas,Temperate Northern Atlantic,Norwegian Sea Drainages,Baltic Sea|North Sea|Northern Norway and Finnmark|NA|NA|NA|NA|NA|NA,Barents Sea Drainages|Northern Baltic Drainages|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
4496,Stromma,Stromma,FIN,FIN,60.1833,22.9,60.18333,22.9,0.55,18.14,17.59,7.06,6.17,Air,Close_Sal,Baltic Sea,Northern European Seas,Temperate Northern Atlantic,Northern Baltic Drainages,North Sea|Southern Norway|Northern Norway and Finnmark|NA|NA|NA|NA|NA|NA,Barents Sea Drainages|Lake Onega - Lake Ladoga|Norwegian Sea Drainages|Southern Baltic Lowlands|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
4497,Iwo To,Iwojima,JPN,JPN,24.8,141.3,24.8,141.3,21.72,28.74,7.01,25.75,34.85,WOA,WOA,Ogasawara Islands,Tropical Northwestern Pacific,Central Indo-Pacific,NA,Central Kuroshio Current|Mariana Islands|NA|NA|NA|NA|NA|NA|NA,NA,,,,,,
4498,Powell River,Powell River,CAN,CAN,49.8667,-124.55,49.86667,-124.55,4.79,19.02,14.23,10.89,26.47,Air,WOA,Puget Trough/Georgia Basin,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Alaska & Canada Pacific Coastal,"North American Pacific Fijordland|Oregon, Washington, Vancouver Coast and Shelf|NA|NA|NA|NA|NA|NA|NA",Columbia Glaciated|Columbia Unglaciated|Alaskan Coastal|Lower Mackenzie|Upper Mackenzie|Upper Yukon|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
4499,Morro Bay,Morro Bay,USA,USA,35.3667,-120.85,35.36667,-120.85,12.42,21.13,8.71,16.7,26.69,Air,Drake_Model,Northern California,Cold Temperate Northeast Pacific,Temperate Northern Pacific,NA,"Oregon, Washington, Vancouver Coast and Shelf|Southern California Bight|NA|NA|NA|NA|NA|NA|NA",NA,,,,,,
4500,St. Thomas,St. Thomas,VIR,VIR,18.3833,-64.9333,18.38333,-64.93333,25.74,28.61,2.87,27.32,35.56,WOA,WOA,Eastern Caribbean,Tropical Northwestern Atlantic,Tropical Atlantic,Puerto Rico - Virgin Islands,Bahamian|Guianan|Southern Caribbean|Greater Antilles|NA|NA|NA|NA|NA,NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
4501,Snell Lock,NA,NA,USA,44.9833,-74.7667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,St.Lawrence,NA,Northeast US & Southeast Canada Atlantic Drainages|Southern Hudson Bay|Laurentian Great Lakes|Gulf of St.Lawrence Coastal Drainages|Eastern Hudson Bay - Ungava|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
4502,New Holland,New Holland,GBR,GBR,53.7014,-0.3625,53.7,-0.35,6.04,17.74,11.7,11.31,15.73,Air,Drake_Model,North Sea,Northern European Seas,Temperate Northern Atlantic,Central & Western Europe,Baltic Sea|Celtic Seas|Faroe Plateau|South European Atlantic Shelf|Southern Norway|NA|NA|NA|NA,Northern British Isles|Cantabric Coast - Languedoc|Upper Danube|Dniester - Lower Danube|Gulf of Venice Drainages|Dnieper - South Bug|Southern Baltic Lowlands|NA|NA|NA|NA|NA|NA|NA,,,,,,
4503,Forsmark,Forsmark,SWE,SWE,60.4167,18.2,60.41667,18.2,0.47,15.85,15.38,6.99,5.85,WOA,WOA,Baltic Sea,Northern European Seas,Temperate Northern Atlantic,NA,North Sea|Southern Norway|Northern Norway and Finnmark|NA|NA|NA|NA|NA|NA,NA,,,,,,
4504,Boulogne,Boulogne,FRA,FRA,50.7333,1.6167,50.73333,1.61667,7.2,17.27,10.08,11.83,34.72,WOA,WOA,North Sea,Northern European Seas,Temperate Northern Atlantic,Central & Western Europe,Baltic Sea|Celtic Seas|Faroe Plateau|South European Atlantic Shelf|Southern Norway|NA|NA|NA|NA,Northern British Isles|Cantabric Coast - Languedoc|Upper Danube|Dniester - Lower Danube|Gulf of Venice Drainages|Dnieper - South Bug|Southern Baltic Lowlands|NA|NA|NA|NA|NA|NA|NA,,,,,,
4506,Coco Is.(CRI),Coco Is.(CRI),CRI,CRI,5.55,-87.05,5.55,-87.05,26.79,29.07,2.28,27.75,32.77,WOA,WOA,Cocos Islands,Tropical East Pacific,Tropical Eastern Pacific,Cocos Island (Costa Rica),Eastern Galapagos Islands|Nicoya|Northern Galapagos Islands|Panama Bight|NA|NA|NA|NA|NA,NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
4507,Aresund,NA,NA,SWE,55.8698,12.827,NA,NA,NA,NA,NA,NA,NA,NA,NA,Baltic Sea,Northern European Seas,Temperate Northern Atlantic,NA,North Sea|Southern Norway|Northern Norway and Finnmark|NA|NA|NA|NA|NA|NA,NA,,,,,,
4508,St. Etienne du Rouvray,St. Etienne du Rouvray,FRA,FRA,49.3667,1.1167,49.36667,1.11667,6.37,19.32,12.95,12.32,0,Air,DistIn,North Sea,Northern European Seas,Temperate Northern Atlantic,Central & Western Europe,Baltic Sea|Celtic Seas|Faroe Plateau|South European Atlantic Shelf|Southern Norway|NA|NA|NA|NA,Northern British Isles|Cantabric Coast - Languedoc|Upper Danube|Dniester - Lower Danube|Gulf of Venice Drainages|Dnieper - South Bug|Southern Baltic Lowlands|NA|NA|NA|NA|NA|NA|NA,,,,,,
4509,Abashiri,Abashiri,JPN,JPN,44.0167,144.2833,44.01667,144.28333,-1.12,16.23,17.36,6.76,32.47,WOA,WOA,Sea of Okhotsk,Cold Temperate Northwest Pacific,Temperate Northern Pacific,"Sakhalin, Hokkaido, & Sikhote - Alin Coast",East Siberian Sea|Kamchatka Shelf and Coast|Northeastern Honshu|Oyashio Current|Sea of Japan/East Sea|NA|NA|NA|NA,Lower Amur|Coastal Amur|Hamgyong - Sanmaek|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
4510,Guanta,Guanta,VEN,VEN,10.25,-64.6,10.25,-64.6,24,28.12,4.12,25.7,36.67,WOA,WOA,Southern Caribbean,Tropical Northwestern Atlantic,Tropical Atlantic,South America Caribbean Drainages - Trinidad,Eastern Caribbean|Guianan|Southwestern Caribbean|Greater Antilles|NA|NA|NA|NA|NA,Magdalena - Sinu|Maracaibo|Orinoco Delta & Coastal Drainages|Orinoco Piedmont|Orinoco Llanos|Orinoco High Andes|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
4511,Kelibia,Kelibia,TUN,TUN,36.8333,11.0833,36.83333,11.08333,14.58,25.4,10.82,19.22,37.28,WOA,WOA,Tunisian Plateau/Gulf of Sidra,Mediterranean Sea,Temperate Northern Atlantic,NA,Levantine Sea|Ionian Sea|Aegean Sea|Western Mediterranean|NA|NA|NA|NA|NA,NA,,,,,,
4512,Surat Thani,Surat Thani,THA,THA,9.15,99.3333,9.15,99.33333,26.47,28.7,2.23,27.72,10.04,Air,Drake_Model,Gulf of Thailand,Sunda Shelf,Central Indo-Pacific,Malay Peninsula Eastern Slope,Andaman Sea Coral Coast|Gulf of Tonkin|Malacca Strait|Northern Bay of Bengal|Southern Vietnam|Sunda Shelf/Java Sea|NA|NA|NA,Lower & Middle Salween|Mae Khlong|Northern Central Sumatra - Western Malaysia|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
4513,Suriname,NA,NA,SUR,5.8182,-55.1733,NA,NA,NA,NA,NA,NA,NA,NA,NA,Guianan,North Brazil Shelf,Tropical Atlantic,Guianas,Amazonia|Eastern Caribbean|Southern Caribbean|NA|NA|NA|NA|NA|NA,Essequibo|Amazonas Guiana Shield|Amazonas Estuary & Coastal Drainages|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
4514,Black Head,NA,NA,IRL,53.15,-9.2667,NA,NA,NA,NA,NA,NA,NA,NA,NA,Celtic Seas,Northern European Seas,Temperate Northern Atlantic,NA,Faroe Plateau|South European Atlantic Shelf|North Sea|NA|NA|NA|NA|NA|NA,NA,,,,,,
4515,Lossiemouth,Lossiemouth,GBR,GBR,57.7167,-3.2833,57.71667,-3.28333,5.8,15.84,10.04,10.2,34.6,Air,WOA,North Sea,Northern European Seas,Temperate Northern Atlantic,Northern British Isles,Baltic Sea|Celtic Seas|Faroe Plateau|South European Atlantic Shelf|Southern Norway|NA|NA|NA|NA,Central & Western Europe|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
4516,Den Bommel,Den Bommel,NLD,NLD,51.7167,4.2833,51.71667,4.28333,5.56,19.02,13.46,11.74,3.78,Air,Drake_Model,North Sea,Northern European Seas,Temperate Northern Atlantic,Central & Western Europe,Baltic Sea|Celtic Seas|Faroe Plateau|South European Atlantic Shelf|Southern Norway|NA|NA|NA|NA,Northern British Isles|Cantabric Coast - Languedoc|Upper Danube|Dniester - Lower Danube|Gulf of Venice Drainages|Dnieper - South Bug|Southern Baltic Lowlands|NA|NA|NA|NA|NA|NA|NA,,,,,,
